# Authoritative port -> pin table for the Digilent Arty A7-100T.
#
# EXTRACTED MECHANICALLY, and that is the entire point.  A12 assigned the
# RGB LED by reading the master file's three lines by eye; the master lists
# them in the order led0_b, led0_g, led0_r, they were read as r, g, b, and
# red and blue were swapped.  Everything built, every automated check passed,
# and the design ran correctly on hardware -- the only symptom was the wrong
# colour lighting up, which took a person looking at the board to notice.
#
# tb/fpga/check_xdc_pins.py compares every fpga/constraints/*.xdc against
# this file, so the same mistake cannot be made a second time by hand.
#
# Source: https://github.com/Digilent/digilent-xdc
#         Arty-A7-100-Master.xdc
# sha256: 5c0c84302cbce49ac85f4812e8f1f7371e686964ec2eb29fd67307da9ed6835f
#
# port                pin    iostandard
CLK100MHZ             E3     LVCMOS33
sw[0]                 A8     LVCMOS33
sw[1]                 C11    LVCMOS33
sw[2]                 C10    LVCMOS33
sw[3]                 A10    LVCMOS33
led0_b                E1     LVCMOS33
led0_g                F6     LVCMOS33
led0_r                G6     LVCMOS33
led1_b                G4     LVCMOS33
led1_g                J4     LVCMOS33
led1_r                G3     LVCMOS33
led2_b                H4     LVCMOS33
led2_g                J2     LVCMOS33
led2_r                J3     LVCMOS33
led3_b                K2     LVCMOS33
led3_g                H6     LVCMOS33
led3_r                K1     LVCMOS33
led[0]                H5     LVCMOS33
led[1]                J5     LVCMOS33
led[2]                T9     LVCMOS33
led[3]                T10    LVCMOS33
btn[0]                D9     LVCMOS33
btn[1]                C9     LVCMOS33
btn[2]                B9     LVCMOS33
btn[3]                B8     LVCMOS33
ja[0]                 G13    LVCMOS33
ja[1]                 B11    LVCMOS33
ja[2]                 A11    LVCMOS33
ja[3]                 D12    LVCMOS33
ja[4]                 D13    LVCMOS33
ja[5]                 B18    LVCMOS33
ja[6]                 A18    LVCMOS33
ja[7]                 K16    LVCMOS33
jb[0]                 E15    LVCMOS33
jb[1]                 E16    LVCMOS33
jb[2]                 D15    LVCMOS33
jb[3]                 C15    LVCMOS33
jb[4]                 J17    LVCMOS33
jb[5]                 J18    LVCMOS33
jb[6]                 K15    LVCMOS33
jb[7]                 J15    LVCMOS33
jc[0]                 U12    LVCMOS33
jc[1]                 V12    LVCMOS33
jc[2]                 V10    LVCMOS33
jc[3]                 V11    LVCMOS33
jc[4]                 U14    LVCMOS33
jc[5]                 V14    LVCMOS33
jc[6]                 T13    LVCMOS33
jc[7]                 U13    LVCMOS33
jd[0]                 D4     LVCMOS33
jd[1]                 D3     LVCMOS33
jd[2]                 F4     LVCMOS33
jd[3]                 F3     LVCMOS33
jd[4]                 E2     LVCMOS33
jd[5]                 D2     LVCMOS33
jd[6]                 H2     LVCMOS33
jd[7]                 G2     LVCMOS33
uart_rxd_out          D10    LVCMOS33
uart_txd_in           A9     LVCMOS33
ck_io0                V15    LVCMOS33
ck_io1                U16    LVCMOS33
ck_io2                P14    LVCMOS33
ck_io3                T11    LVCMOS33
ck_io4                R12    LVCMOS33
ck_io5                T14    LVCMOS33
